category	wikidata_id	instances	first_edit	days	size	images	notes	issues	references	issue_clarify	discussion_size	incipit_size	totali	avg_pv	avg_pv_prev	VdQ	vetrina	Galleria_Commons	Pagina_su_Commons	article	article_wikipedia	website	unique_editors	latitude	longitude	visitors	public_private	staff	type	communication_expert	public_digital_archive	nonpublic_digital_archive	region
archivio	Q2860422																			Archivio di Stato di Napoli	Archivio di Stato di Napoli	http://www.archiviodistatonapoli.it	75	40.8484	14.2593								
archivio	Q2860424																			Archivio di Stato di Roma	Archivio di Stato di Roma	http://www.archiviodistatoroma.beniculturali.it/	25	41.89824	12.473882								
archivio	Q2860425																			Archivio di Stato di Salerno	Archivio di Stato di Salerno	http://www.archiviodistatosalerno.beniculturali.it	38	40.68073	14.75826								
archivio	Q28668695																			Antonio Pacinotti-Cagliari	Liceo scientifico statale Antonio Pacinotti	https://pacinotti.edu.it/	31	39.228944444444444	9.118638888888889								
archivio	Q28670472																			Archivio Teatrale Andres Neumann	Archivio Teatrale Andres Neumann	http://www.archivioteatraleandresneumann.org/	15	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q2942535																			Cattedrale di San Gerlando	Cattedrale di San Gerlando	Nessun sito web	84	37.3141	13576								
archivio	Q29426456																			Conservatorio Giorgio Federico Ghedini	Conservatorio Giorgio Federico Ghedini	http://www.conservatoriocuneo.it/	17	44.393313	7.551739								
archivio	Q30263587																			Conservatorio Egidio Romualdo Duni	Conservatorio Egidio Romualdo Duni	http://www.conservatoriomatera.it/	22	40.665611	16.609712								
archivio	Q30880038																			Archivio Nazionale del Film di Famiglia	Archivio Nazionale del Film di Famiglia	http://www.homemovies.it	17	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q30880808																			E. Duni	Liceo ginnasio statale Emanuele Duni	http://www.classicoduni.it	16	40.665827	16.597448								
archivio	Q30889048																			Liceo Scientifico Galileo Galilei	Liceo scientifico statale Galileo Galilei (Macerata)	https://www.scientificomc.edu.it	21	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q30898360																			Liceo scientifico statale Stanislao Cannizzaro	Liceo scientifico statale Stanislao Cannizzaro	http://www.cannizzaro.gov.it	18	38.136955555556	13.351383333333								
archivio	Q30899012																			Liceo classico Giovanni Maria Dettori	Liceo classico Giovanni Maria Dettori	http://www.liceoclassicodettori.edu.it	43	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q31837807																			Archivio di Stato di Udine	Archivio di Stato di Udine	http://www.archiviodistatoudine.beniculturali.it	7	46.06828	13.223159								
archivio	Q31840928																			Archivio di Stato di Reggio Emilia	Archivio di Stato di Reggio Emilia	http://www.archiviodistatoreggioemilia.beniculturali.it/	17	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q3305152																			Pro Palazzolo	Pro Palazzolo	Nessun sito web	175	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q338489																			Accademia della Crusca	Accademia della Crusca	https://accademiadellacrusca.it	362	43.8196746	11.2277055								
archivio	Q338505																			Accademia di belle arti di Venezia	Accademia di belle arti di Venezia	http://www.accademiavenezia.it/	74	45.4286	12.3305								
archivio	Q3516757																			Teatro Eliseo	Teatro Eliseo	http://www.teatroeliseo.it	58	41.8979	12.4886								
archivio	Q3548182																			Società Umanitaria	Società Umanitaria	https://www.umanitaria.it/	57	45.45938	9.20087								
archivio	Q359875																			Adnkronos	Adnkronos	https://www.adnkronos.com	84	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q3600584																			ACNP	Archivio collettivo nazionale dei periodici	https://acnpsearch.unibo.it/	12	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q3601243																			askanews	Askanews	http://www.askanews.it	40	Nessuna coordinata geografica	Nessuna coordinata geografica								
